Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
EMR,2018-01-08,72.43,72.43,71.68,72.199997,72.199997,2334700
EMR,2018-01-09,72.419998,72.589996,71.889999,72.32,72.32,3367600
EMR,2018-01-10,71.739998,72.699997,71.699997,72.589996,72.589996,2411300
EMR,2018-01-11,72.879997,73.900002,72.459999,73.879997,73.879997,2917300
EMR,2018-01-12,74,74.449997,73.849998,73.910004,73.910004,3500400
EMR,2018-01-16,73.389999,73.879997,72.110001,72.830002,72.830002,3899900
EMR,2018-01-17,73.050003,73.779999,72.889999,73.07,73.07,3276100
EMR,2018-01-18,73.480003,73.949997,73,73.449997,73.449997,2356200
EMR,2018-01-19,73.629997,73.800003,72.879997,73.139999,73.139999,3538100
EMR,2018-01-22,72.940002,73.279999,72.349998,73.260002,73.260002,3521500
EMR,2018-01-23,73.339996,73.849998,73.010002,73.120003,73.120003,3205600
EMR,2018-01-24,73.540001,73.699997,72.160004,72.629997,72.629997,3284300
EMR,2018-01-25,73.080002,73.199997,71.790001,72.68,72.68,3293700
EMR,2018-01-26,72.900002,74.050003,72.68,74.050003,74.050003,3587500
EMR,2018-01-29,73.669998,73.870003,72.910004,72.989998,72.989998,2136400
EMR,2018-01-30,72.43,72.910004,72.089996,72.470001,72.470001,2311600
EMR,2018-01-31,72.949997,73.25,72.029999,72.230003,72.230003,5458100
EMR,2018-02-01,71.43,73.099998,69.730003,72.580002,72.580002,3022200
EMR,2018-02-02,71.860001,72.339996,70.510002,70.57,70.57,4853000
EMR,2018-02-05,70.019997,71.419998,68.220001,68.440002,68.440002,4426300
EMR,2018-02-06,66.699997,71.379997,66,69.25,69.25,7305800
