Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,118.610001,120.480003,118.070000,119.339996,119.339996,6660700
2018-01-09,119.970001,119.970001,118.660004,119.110001,119.110001,6562400
2018-01-10,118.690002,119.050003,117.459999,118.980003,118.980003,7490300
2018-01-11,118.800003,119.980003,118.680000,119.839996,119.839996,5982100
2018-01-12,120.120003,120.349998,119.709999,120.089996,120.089996,5585800
2018-01-16,121.180000,121.940002,119.910004,120.389999,120.389999,8803800
2018-01-17,121.199997,122.160004,120.730003,121.980003,121.980003,7991500
2018-01-18,122.519997,123.199997,122.029999,123.110001,123.110001,8661000
2018-01-19,123.050003,123.650002,121.919998,122.699997,122.699997,8250700
2018-01-22,122.870003,124.330002,122.400002,124.330002,124.330002,9355000
2018-01-23,124.599998,125.510002,124.209999,124.650002,124.650002,5683300
2018-01-24,125.050003,125.449997,123.709999,124.550003,124.550003,6425200
2018-01-25,125.000000,125.470001,124.629997,125.220001,125.220001,7166400
2018-01-26,125.769997,126.379997,124.760002,126.320000,126.320000,5604900
2018-01-29,126.739998,126.879997,124.690002,124.839996,124.839996,6257900
2018-01-30,123.820000,124.290001,122.839996,123.550003,123.550003,8154400
2018-01-31,123.779999,124.480003,123.040001,124.230003,124.230003,7338200
2018-02-01,124.739998,126.260002,124.099998,125.720001,125.720001,11169700
2018-02-02,123.720001,123.720001,120.699997,120.910004,120.910004,13937700
2018-02-05,118.699997,121.129997,115.010002,116.269997,116.269997,16623900
2018-02-06,115.199997,120.300003,113.250000,119.970001,119.970001,18614400
