Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
GILD,2018-01-16,79.75,81.589996,79.519997,80.25,80.25,11750200
GILD,2018-01-17,80.709999,82.07,80.209999,81.739998,81.739998,11162800
GILD,2018-01-18,81.470001,81.650002,80.769997,81.169998,81.169998,8527500
GILD,2018-01-19,81.300003,81.529999,80.370003,80.980003,80.980003,7920900
GILD,2018-01-22,81.309998,82.050003,81.050003,81.410004,81.410004,7464500
GILD,2018-01-23,81.230003,82.18,80.910004,80.949997,80.949997,7198800
GILD,2018-01-24,81.290001,82.07,80.580002,81.300003,81.300003,4530500
GILD,2018-01-25,81.580002,81.839996,80.849998,81.190002,81.190002,4708000
GILD,2018-01-26,81.959999,85.489998,81.879997,85.459999,85.459999,14617200
GILD,2018-01-29,85.120003,89.540001,85.120003,88.800003,88.800003,19411600
GILD,2018-01-30,88.019997,88.330002,86.269997,87.290001,87.290001,14001200
GILD,2018-01-31,86.599998,87.099998,83.290001,83.800003,83.800003,12790800
GILD,2018-02-01,83.199997,84.160004,81.18,83.489998,83.489998,7305100
GILD,2018-02-02,82.650002,83.339996,81.480003,81.730003,81.730003,9356300
GILD,2018-02-05,81.400002,82.5,78.339996,78.370003,78.370003,10810400
GILD,2018-02-06,77.349998,80.610001,76.900002,80.379997,80.379997,13287400
GILD,2018-02-07,79.669998,84.580002,79.349998,82.760002,82.760002,20315600
GILD,2018-02-08,82.440002,82.849998,78.07,78.220001,78.220001,13853700
GILD,2018-02-09,78.900002,79.949997,76.019997,79.32,79.32,13746400
GILD,2018-02-12,79.769997,81.419998,79.629997,80.139999,80.139999,9921000
GILD,2018-02-13,79.57,81.089996,78.650002,80.790001,80.790001,6596814
