Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,86.699997,87.150002,86.599998,87.139999,87.139999,10927100
2018-01-09,86.940002,87.150002,86.650002,86.769997,86.769997,8131600
2018-01-10,87.000000,87.190002,85.980003,86.080002,86.080002,10822300
2018-01-11,86.360001,87.370003,85.930000,86.930000,86.930000,14366000
2018-01-12,87.199997,87.989998,87.180000,87.519997,87.519997,9834500
2018-01-16,87.739998,87.760002,86.599998,86.970001,86.970001,10882800
2018-01-17,87.199997,88.209999,86.930000,88.000000,88.000000,10546000
2018-01-18,87.769997,88.190002,87.339996,87.430000,87.430000,9223700
2018-01-19,87.570000,87.760002,86.610001,87.150002,87.150002,13090000
2018-01-22,87.169998,88.290001,87.050003,88.250000,88.250000,10270400
2018-01-23,88.250000,88.459999,87.739998,88.300003,88.300003,10281800
2018-01-24,88.489998,88.919998,88.010002,88.529999,88.529999,10316100
2018-01-25,88.550003,88.870003,88.199997,88.370003,88.370003,11271900
2018-01-26,88.639999,89.000000,88.470001,89.000000,89.000000,10514400
2018-01-29,88.589996,89.300003,87.949997,88.010002,88.010002,9315700
2018-01-30,87.540001,88.379997,86.779999,86.779999,86.779999,12408000
2018-01-31,86.559998,87.470001,86.330002,87.300003,87.300003,14404700
2018-02-01,87.500000,89.250000,87.349998,89.070000,89.070000,17971000
2018-02-02,85.129997,86.010002,83.000000,84.529999,84.529999,29822100
2018-02-05,83.279999,83.989998,78.129997,79.720001,79.720001,30452700
2018-02-06,78.510002,80.349998,76.900002,78.349998,78.349998,36178700
