Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
WFC,2018-01-08,62.66,62.73,61.939999,62.040001,61.672173,15569400
WFC,2018-01-09,62.299999,62.77,62.07,62.259998,61.890865,15766500
WFC,2018-01-10,62.48,63.400002,62.360001,63.119999,62.74577,18107500
WFC,2018-01-11,63.650002,63.669998,62.689999,63.009998,62.636421,22075000
WFC,2018-01-12,63.200001,63.400002,62.049999,62.549999,62.17915,25886100
WFC,2018-01-16,62.790001,63.150002,62.18,62.5,62.129444,17907800
WFC,2018-01-17,62.849998,64.040001,62.490002,63.880001,63.501266,23892900
WFC,2018-01-18,63.869999,64.309998,63.860001,63.950001,63.57085,16305900
WFC,2018-01-19,64.150002,64.260002,63.830002,64.220001,63.839249,16524000
WFC,2018-01-22,64,64.75,63.970001,64.730003,64.34623,12245200
WFC,2018-01-23,64.309998,64.849998,64.220001,64.489998,64.107643,12937100
WFC,2018-01-24,64.949997,65.629997,64.800003,65.480003,65.091782,20180300
WFC,2018-01-25,65.699997,65.849998,65.400002,65.650002,65.260773,17568700
WFC,2018-01-26,65.889999,66.040001,65.25,65.93,65.539108,16251900
WFC,2018-01-29,65.779999,66.309998,65.660004,65.82,65.429764,16105200
WFC,2018-01-30,65.43,65.93,65.279999,65.279999,64.89296,16158900
WFC,2018-01-31,65.269997,66.099998,65.160004,65.779999,65.389999,18147900
WFC,2018-02-01,65.370003,66.089996,65.059998,65.510002,65.510002,15717600
WFC,2018-02-02,65.330002,65.529999,63.830002,64.07,64.07,18905300
WFC,2018-02-05,58.700001,59.889999,57.5,58.16,58.16,103394400
WFC,2018-02-06,56.91,58.5,55.869999,57.279999,57.279999,82587300
