Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
CVS,2018-01-16,78.830002,80.150002,78.830002,79.440002,78.949326,8437300
CVS,2018-01-17,79.599998,79.970001,78.93,79.5,79.008957,7448700
CVS,2018-01-18,79.919998,80.690002,79.260002,79.349998,78.859879,8065800
CVS,2018-01-19,79.580002,80.040001,79.110001,79.860001,79.36673,7963600
CVS,2018-01-22,80.089996,80.980003,79.93,80.949997,80.449997,7016200
CVS,2018-01-23,80.480003,80.699997,79.699997,80.440002,80.440002,5780600
CVS,2018-01-24,80.760002,81.190002,80.349998,80.919998,80.919998,7308500
CVS,2018-01-25,81.300003,81.989998,80.760002,81.580002,81.580002,6357400
CVS,2018-01-26,81.639999,82.010002,80.919998,82.010002,82.010002,5883300
CVS,2018-01-29,82,83.879997,81.75,83.629997,83.629997,8372900
CVS,2018-01-30,78.489998,80.940002,78.18,80.190002,80.190002,16517900
CVS,2018-01-31,80.599998,81.269997,78.040001,78.690002,78.690002,12472400
CVS,2018-02-01,78.300003,79.199997,77.599998,78.790001,78.790001,9150000
CVS,2018-02-02,78.360001,78.540001,75.580002,76.449997,76.449997,10395600
CVS,2018-02-05,75.309998,76.400002,73.290001,73.32,73.32,12199500
CVS,2018-02-06,72.5,74.650002,71.769997,74.019997,74.019997,11241200
CVS,2018-02-07,73.839996,75.559998,73.57,74.349998,74.349998,9611100
CVS,2018-02-08,74,75.339996,70.5,70.550003,70.550003,11725200
CVS,2018-02-09,71.010002,71.349998,67.309998,69.389999,69.389999,16718500
CVS,2018-02-12,70.089996,70.639999,69.5,69.870003,69.870003,8922900
CVS,2018-02-13,69.709999,71.220001,69.599998,70.110001,70.110001,8796144
