Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,108.150002,108.680000,107.699997,108.500000,108.500000,12466500
2018-01-09,108.720001,109.629997,108.489998,109.050003,109.050003,13292300
2018-01-10,109.470001,110.699997,109.389999,110.250000,110.250000,15834500
2018-01-11,110.669998,110.930000,110.050003,110.839996,110.839996,13676800
2018-01-12,111.650002,112.849998,110.839996,112.669998,112.669998,18884200
2018-01-16,111.510002,113.430000,111.070000,112.269997,112.269997,22703300
2018-01-17,111.889999,113.300003,111.309998,112.989998,112.989998,14940300
2018-01-18,112.760002,113.720001,112.269997,113.260002,113.260002,14572900
2018-01-19,113.940002,114.339996,112.800003,113.010002,113.010002,18785500
2018-01-22,112.660004,114.389999,112.500000,114.330002,114.330002,12475700
2018-01-23,113.669998,114.639999,113.349998,114.209999,114.209999,12320800
2018-01-24,114.860001,116.000000,114.660004,115.669998,115.669998,15904500
2018-01-25,116.040001,116.169998,115.080002,115.699997,115.699997,13510000
2018-01-26,115.699997,116.320000,114.959999,116.320000,116.320000,13883900
2018-01-29,116.019997,117.349998,116.019997,116.199997,116.199997,11679900
2018-01-30,115.529999,116.599998,114.980003,115.110001,115.110001,14279100
2018-01-31,115.650002,116.660004,115.160004,115.669998,115.669998,13141400
2018-02-01,115.769997,116.989998,115.480003,116.870003,116.870003,13800600
2018-02-02,116.489998,116.919998,114.089996,114.279999,114.279999,16477300
2018-02-05,113.000000,114.589996,103.980003,108.800003,108.800003,30097600
2018-02-06,106.849998,112.480003,106.610001,112.110001,112.110001,32475800
