Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
KO,2018-01-16,46.150002,46.619999,46.139999,46.529999,46.529999,16459300
KO,2018-01-17,46.580002,47,46.549999,46.82,46.82,12143100
KO,2018-01-18,46.75,47.07,46.610001,46.880001,46.880001,11952900
KO,2018-01-19,46.990002,47.25,46.869999,47.16,47.16,16187400
KO,2018-01-22,47.139999,47.5,47.09,47.380001,47.380001,9577400
KO,2018-01-23,47.209999,47.700001,47.130001,47.450001,47.450001,11463700
KO,2018-01-24,47.529999,47.950001,47.48,47.830002,47.830002,15964500
KO,2018-01-25,47.700001,48,47.700001,47.84,47.84,11755000
KO,2018-01-26,47.779999,48.619999,47.740002,48.529999,48.529999,16671200
KO,2018-01-29,48.209999,48.459999,47.580002,47.700001,47.700001,11662600
KO,2018-01-30,47.73,48.16,47.400002,47.41,47.41,12404800
KO,2018-01-31,47.450001,47.900002,47.369999,47.59,47.59,10960100
KO,2018-02-01,47.41,47.73,47.110001,47.450001,47.450001,10279400
KO,2018-02-02,47.349998,47.41,46.630001,46.73,46.73,12912300
KO,2018-02-05,46.650002,46.919998,44.41,44.889999,44.889999,23261500
KO,2018-02-06,43.869999,44.740002,43.439999,44.669998,44.669998,25184300
KO,2018-02-07,44.580002,45.5,44.279999,44.560001,44.560001,18041600
KO,2018-02-08,44.619999,44.619999,43.07,43.099998,43.099998,23295300
KO,2018-02-09,43.360001,43.459999,42.189999,43.130001,43.130001,22853100
KO,2018-02-12,43.560001,44.23,43.369999,43.970001,43.970001,14646500
KO,2018-02-13,43.919998,44.41,43.689999,44.189999,44.189999,13163196
