Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
USB,2018-01-16,57.540001,57.689999,56.93,57.169998,57.169998,8840200
USB,2018-01-17,57.040001,57.040001,55.369999,56.34,56.34,9782100
USB,2018-01-18,56.52,56.810001,56.09,56.150002,56.150002,9218100
USB,2018-01-19,56.490002,56.52,56,56.459999,56.459999,10529300
USB,2018-01-22,56.540001,57.259998,56.540001,57.259998,57.259998,7687200
USB,2018-01-23,56.860001,57.48,56.790001,57.18,57.18,5449700
USB,2018-01-24,57.310001,57.939999,57.310001,57.75,57.75,5612700
USB,2018-01-25,57.939999,58.16,57.68,57.98,57.98,5859400
USB,2018-01-26,57.959999,58.110001,57.5,58.110001,58.110001,6057600
USB,2018-01-29,58.040001,58.5,57.93,57.990002,57.990002,6004000
USB,2018-01-30,57.639999,58.09,57.389999,57.400002,57.400002,5069000
USB,2018-01-31,57.310001,57.650002,57.02,57.139999,57.139999,7893000
USB,2018-02-01,56.93,57.459999,56.709999,57.459999,57.459999,5357600
USB,2018-02-02,57.240002,57.799999,56.779999,56.900002,56.900002,7111300
USB,2018-02-05,56.369999,56.919998,54.48,54.619999,54.619999,11580900
USB,2018-02-06,53.450001,55.299999,53.02,54.619999,54.619999,17726400
USB,2018-02-07,54.5,55.68,54.400002,54.799999,54.799999,11005300
USB,2018-02-08,54.790001,54.790001,52.610001,52.650002,52.650002,10887500
USB,2018-02-09,53.32,54.080002,51.869999,53.75,53.75,12512500
USB,2018-02-12,54.060001,54.57,53.52,53.970001,53.970001,7498900
USB,2018-02-13,53.700001,54.360001,53.580002,54.139999,54.139999,5558107
