Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
MSFT,2018-01-08,88.199997,88.580002,87.599998,88.279999,88.279999,22113000
MSFT,2018-01-09,88.650002,88.730003,87.860001,88.220001,88.220001,19484300
MSFT,2018-01-10,87.860001,88.190002,87.410004,87.82,87.82,18652200
MSFT,2018-01-11,88.129997,88.129997,87.239998,88.080002,88.080002,17808900
MSFT,2018-01-12,88.669998,89.779999,88.449997,89.599998,89.599998,24271500
MSFT,2018-01-16,90.099998,90.790001,88.010002,88.349998,88.349998,36599700
MSFT,2018-01-17,89.080002,90.279999,88.75,90.139999,90.139999,25621200
MSFT,2018-01-18,89.800003,90.669998,89.660004,90.099998,90.099998,24159700
MSFT,2018-01-19,90.139999,90.610001,89.660004,90,90,36875000
MSFT,2018-01-22,90,91.620003,89.739998,91.610001,91.610001,23601600
MSFT,2018-01-23,91.900002,92.300003,91.540001,91.900002,91.900002,23412800
MSFT,2018-01-24,92.550003,93.43,91.580002,91.82,91.82,33277500
MSFT,2018-01-25,92.470001,93.239998,91.93,92.330002,92.330002,26383200
MSFT,2018-01-26,93.120003,94.059998,92.580002,94.059998,94.059998,29172200
MSFT,2018-01-29,95.139999,95.449997,93.720001,93.919998,93.919998,31569900
MSFT,2018-01-30,93.300003,93.660004,92.099998,92.739998,92.739998,38635100
MSFT,2018-01-31,93.75,95.400002,93.510002,95.010002,95.010002,48756300
MSFT,2018-02-01,94.790001,96.07,93.580002,94.260002,94.260002,47227900
MSFT,2018-02-02,93.639999,93.970001,91.5,91.779999,91.779999,47867800
MSFT,2018-02-05,90.559998,93.239998,88,88,88,51031500
MSFT,2018-02-06,86.889999,91.480003,85.25,91.330002,91.330002,67917500
