Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,162.660004,163.910004,161.699997,163.470001,163.470001,5237500
2018-01-09,163.899994,164.529999,163.059998,163.830002,163.830002,4341800
2018-01-10,162.910004,164.330002,162.500000,164.179993,164.179993,4174100
2018-01-11,164.800003,164.940002,163.300003,164.199997,164.199997,3794500
2018-01-12,164.020004,164.740005,163.029999,163.139999,163.139999,5031900
2018-01-16,165.100006,165.289993,163.350006,163.850006,163.850006,7794200
2018-01-17,168.009995,169.130005,167.259995,168.649994,168.649994,11710000
2018-01-18,170.000000,171.130005,168.149994,169.119995,169.119995,14259300
2018-01-19,164.460007,165.399994,161.300003,162.369995,162.369995,21172500
2018-01-22,161.509995,163.979996,161.110001,162.600006,162.600006,8480800
2018-01-23,162.820007,166.259995,162.509995,166.250000,166.250000,7466200
2018-01-24,166.750000,168.720001,164.820007,165.369995,165.369995,5645000
2018-01-25,165.910004,166.779999,165.190002,165.470001,165.470001,3302500
2018-01-26,166.119995,167.410004,165.789993,167.339996,167.339996,3787900
2018-01-29,167.449997,168.389999,166.009995,166.800003,166.800003,3517000
2018-01-30,166.210007,166.770004,163.160004,163.619995,163.619995,4902300
2018-01-31,163.750000,164.990005,162.759995,163.699997,163.699997,4072800
2018-02-01,163.190002,164.130005,161.899994,162.399994,162.399994,4434200
2018-02-02,161.699997,162.000000,158.869995,159.029999,159.029999,5251900
2018-02-05,157.889999,158.500000,150.000000,152.529999,152.529999,8746600
2018-02-06,150.289993,155.490005,149.110001,155.339996,155.339996,9823800
